{'lipoC3S3': 0.0, 'datetime': '2019-07-05 16:21:21.522462', 'pitch': -99.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.25, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -0.24, 'watertemp': 24.15, 'lipoC2': 0.0, 'thr3': 27.0, 'depth': 0.03, 'time': 4166.49, 'thr2': 27.0, 'yaw': 359.76, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-07-05 16:21:21.843409', 'pitch': -99.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.25, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -0.24, 'watertemp': 24.15, 'lipoC2': 0.0, 'thr3': 27.0, 'depth': 0.02, 'time': 4166.81, 'thr2': 27.0, 'yaw': 359.76, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-07-05 16:21:22.165790', 'pitch': -99.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.25, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -0.24, 'watertemp': 24.15, 'lipoC2': 0.0, 'thr3': 27.0, 'depth': 0.02, 'time': 4167.13, 'thr2': 27.0, 'yaw': 359.76, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-07-05 16:21:22.487733', 'pitch': -99.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.25, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -0.24, 'watertemp': 24.15, 'lipoC2': 0.0, 'thr3': 27.0, 'depth': 0.03, 'time': 4167.45, 'thr2': 27.0, 'yaw': 359.76, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-07-05 16:21:22.809532', 'pitch': -99.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.25, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -0.24, 'watertemp': 24.15, 'lipoC2': 0.0, 'thr3': 27.0, 'depth': 0.02, 'time': 4167.77, 'thr2': 27.0, 'yaw': 359.76, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-07-05 16:21:23.130737', 'pitch': -99.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.25, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -0.24, 'watertemp': 24.15, 'lipoC2': 0.0, 'thr3': 27.0, 'depth': 0.02, 'time': 4168.09, 'thr2': 27.0, 'yaw': 359.76, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-07-05 16:21:23.453202', 'pitch': -99.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.25, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -0.24, 'watertemp': 24.15, 'lipoC2': 0.0, 'thr3': 27.0, 'depth': 0.03, 'time': 4168.42, 'thr2': 27.0, 'yaw': 359.76, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-07-05 16:21:23.774382', 'pitch': -99.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.25, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -0.24, 'watertemp': 24.15, 'lipoC2': 0.0, 'thr3': 27.0, 'depth': 0.02, 'time': 4168.74, 'thr2': 27.0, 'yaw': 359.76, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-07-05 16:21:24.739244', 'pitch': -99.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.25, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -0.24, 'watertemp': 24.15, 'lipoC2': 0.0, 'thr3': 27.0, 'depth': 0.02, 'time': 4169.7, 'thr2': 27.0, 'yaw': 359.76, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-07-05 16:21:25.976981', 'pitch': -99.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.25, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -0.24, 'watertemp': 24.15, 'lipoC2': 0.0, 'thr3': 27.0, 'depth': 0.02, 'time': 4170.67, 'thr2': 27.0, 'yaw': 359.76, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-07-05 16:21:26.192299', 'pitch': -99.27, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.25, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -0.24, 'watertemp': 24.15, 'lipoC2': 0.0, 'thr3': 27.0, 'depth': 0.02, 'time': 4171.15, 'thr2': 27.0, 'yaw': 359.76, 'thr0': 27.0, 'thr1': 27.0}
