[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:41.332513'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 1178.79), ('watertemp', 23.59), ('yaw', -0.04)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:42.665405'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 1.39), ('watertemp', 23.62), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:42.882743'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 1.56), ('watertemp', 23.57), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:43.099010'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 1.72), ('watertemp', 23.57), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:43.315184'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 1.88), ('watertemp', 23.57), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:43.531332'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 2.04), ('watertemp', 23.57), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:43.747584'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 2.2), ('watertemp', 23.57), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:43.963783'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 2.36), ('watertemp', 23.57), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:44.180028'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 2.52), ('watertemp', 23.57), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:44.396224'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 2.68), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:44.612446'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 2.84), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:44.828681'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 3.0), ('watertemp', 23.58), ('yaw', 0.0)]
