[('compass', 101.1), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:44:15.931223'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -2.6), ('roll', 1.21), ('rot0', 75), ('rot1', 67), ('rot2', 378), ('rot3', 373), ('state', 'normal'), ('thr0', 26.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 471.15), ('watertemp', 25.22), ('yaw', 97.54)]
[('compass', 101.1), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:44:16.149463'), ('depth', -0.258), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -2.6), ('roll', 1.21), ('rot0', 75), ('rot1', 67), ('rot2', 378), ('rot3', 373), ('state', 'normal'), ('thr0', 26.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 471.32), ('watertemp', 25.22), ('yaw', 97.54)]
[('compass', 101.1), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:44:16.366761'), ('depth', -0.258), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -2.6), ('roll', 1.21), ('rot0', 75), ('rot1', 67), ('rot2', 378), ('rot3', 373), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 471.48), ('watertemp', 25.22), ('yaw', 97.54)]
[('compass', 101.1), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:44:16.584228'), ('depth', -0.258), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -2.6), ('roll', 1.21), ('rot0', 75), ('rot1', 67), ('rot2', 378), ('rot3', 373), ('state', 'normal'), ('thr0', 26.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 471.64), ('watertemp', 25.23), ('yaw', 97.54)]
[('compass', 101.1), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:44:16.802441'), ('depth', -0.258), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -2.6), ('roll', 1.21), ('rot0', 75), ('rot1', 67), ('rot2', 378), ('rot3', 373), ('state', 'normal'), ('thr0', 26.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 471.8), ('watertemp', 25.22), ('yaw', 97.54)]
[('compass', 101.1), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:44:17.020019'), ('depth', -0.258), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -2.6), ('roll', 1.21), ('rot0', 75), ('rot1', 67), ('rot2', 378), ('rot3', 373), ('state', 'normal'), ('thr0', 26.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 471.96), ('watertemp', 25.22), ('yaw', 97.54)]
[('compass', 101.1), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:44:17.237538'), ('depth', -0.258), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -2.6), ('roll', 1.21), ('rot0', 75), ('rot1', 67), ('rot2', 378), ('rot3', 373), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 472.12), ('watertemp', 25.22), ('yaw', 97.54)]
[('compass', 101.1), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:44:17.455060'), ('depth', -0.258), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -2.6), ('roll', 1.21), ('rot0', 75), ('rot1', 67), ('rot2', 378), ('rot3', 373), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 472.29), ('watertemp', 25.22), ('yaw', 97.54)]
[('compass', 101.1), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:44:17.673193'), ('depth', -0.258), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -2.6), ('roll', 1.21), ('rot0', 75), ('rot1', 67), ('rot2', 378), ('rot3', 373), ('state', 'normal'), ('thr0', 26.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 472.45), ('watertemp', 25.22), ('yaw', 97.54)]
[('compass', 101.1), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:44:17.891274'), ('depth', -0.258), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -2.6), ('roll', 1.21), ('rot0', 75), ('rot1', 67), ('rot2', 378), ('rot3', 373), ('state', 'normal'), ('thr0', 26.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 472.61), ('watertemp', 25.22), ('yaw', 97.54)]
[('compass', 101.1), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:44:18.109387'), ('depth', -0.258), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -2.6), ('roll', 1.21), ('rot0', 75), ('rot1', 67), ('rot2', 378), ('rot3', 373), ('state', 'normal'), ('thr0', 26.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 472.77), ('watertemp', 25.22), ('yaw', 97.54)]
