[('compass', 93.26), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:15.222155'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.43), ('roll', 1.25), ('rot0', 234), ('rot1', 230), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 89.18), ('watertemp', 25.2), ('yaw', -1.22)]
[('compass', 93.26), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:15.440079'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.43), ('roll', 1.25), ('rot0', 234), ('rot1', 230), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 89.34), ('watertemp', 25.2), ('yaw', -1.22)]
[('compass', 93.26), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:15.657524'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.43), ('roll', 1.25), ('rot0', 234), ('rot1', 230), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 89.5), ('watertemp', 25.2), ('yaw', -1.22)]
[('compass', 93.26), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:15.874870'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.43), ('roll', 1.25), ('rot0', 234), ('rot1', 230), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 89.66), ('watertemp', 25.2), ('yaw', -1.22)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:16.093406'), ('depth', -0.238), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.5), ('roll', 1.27), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 1.39), ('watertemp', 25.24), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:16.310457'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 1.4), ('watertemp', 25.23), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:16.527563'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 1.56), ('watertemp', 25.18), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:16.744737'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 1.72), ('watertemp', 25.18), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:16.961983'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 1.88), ('watertemp', 25.18), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:17.179112'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 2.04), ('watertemp', 25.18), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:17.396162'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 2.2), ('watertemp', 25.18), ('yaw', 0.0)]
